| Actions\ActionFlowExecutionConfirmationAction.cs | 0 | 0 | — | — | PASS |
| Settings\TriggerCustomTriggerSettings.cs | 0 | 0 | — | — | PASS |
| SettingsPage\AboutSettingsPage.axaml.cs | 0 | 0 | — | — | PASS |
| SettingsPage\AiChatSettingsPage.axaml.cs | 0 | 0 | — | — | PASS |
| SettingsPage\AiChatSettingsViewModel.cs | 0 | 0 | — | — | PASS |
| SettingsPage\FloatingWindowEditorSettingsPage.axaml.cs | 0 | 0 | — | — | PASS |
| SettingsPage\MoreFeaturesOptionsSettingsPage.axaml.cs | 0 | 0 | — | — | PASS |
| SettingsPage\PluginDebugSettingsPage.axaml.cs | 0 | 0 | — | — | PASS |
| SettingsPage\SystemToolsSettingsPage.axaml.cs | 0 | 0 | — | — | PASS |
| SettingsPage\SystemToolsSettingsViewModel.cs | 0 | 0 | — | — | PASS |
| Shared\GlobalConstants.cs | 0 | 0 | — | — | PASS |
| SystemTools.CrossPlatform.csproj | 0 | 0 | P01–P06 @ :79（6 处） | — | PASS |
| Themes\CardTypeComponent\CardTypeComponentStyles.cs | 0 | 0 | — | — | PASS |
| Themes\CardTypeComponent\manifest.yml | 0 | 0 | — | — | PASS |
| Themes\ClassWidgets\ClassWidgetsCard.axaml.cs | 0 | 0 | — | — | PASS |
| Themes\ClassWidgets\ClassWidgetsStyles.cs | 0 | 0 | — | — | PASS |
| Themes\ClassWidgets\manifest.yml | 0 | 0 | — | — | PASS |
| Themes\NotchStyle\manifest.yml | 0 | 0 | — | — | PASS |
| Themes\NotchStyle\NotchClipControl.cs | 0 | 0 | — | — | PASS |
| Themes\NotchStyle\NotchFrameControl.cs | 0 | 0 | — | — | PASS |
| Themes\NotchStyle\NotchMaterialControl.cs | 0 | 0 | — | — | PASS |
| Themes\NotchStyle\NotchShapeGeometry.cs | 0 | 0 | — | — | PASS |
| Themes\NotchStyle\NotchStyleStyles.cs | 0 | 0 | — | — | PASS |
| Triggers\ActionInProgressTrigger.cs | 0 | 0 | — | — | PASS |
| Triggers\FloatingWindowTrigger.cs | 0 | 0 | — | — | PASS |
| Version\VersionCheckService.cs | 0 | 0 | — | — | PASS |
| Views\AdvancedShutdownDialog.axaml.cs | 0 | 0 | — | — | PASS |
| Views\AiChatFloatingWindow.axaml.cs | 0 | 0 | — | — | PASS |
| Views\ExtendShutdownDialog.axaml.cs | 0 | 0 | — | — | PASS |
| Views\SystemMotionPreferences.cs | 0 | **2**（R13 :41，X04 :41） | — | I04 :28/:43（2 处） | PASS |
